Date,Open,High,Low,Close,Adj Close,Volume
2024-10-01,14.32,22.98,13.54,17.03,17.03,64043600
2024-09-01,14.50,15.13,10.90,14.14,14.14,19717700
2024-08-01,12.85,15.83,10.40,14.56,14.56,22146300
2024-07-01,13.71,15.92,11.82,12.76,12.76,19285600
2024-06-01,17.20,17.38,13.26,13.58,13.58,14551800
2024-05-01,17.50,20.40,15.21,16.97,16.97,32601000
2024-04-01,20.34,21.98,15.62,17.82,17.82,34964900
2024-03-01,10.92,21.20,10.54,20.57,20.57,42386300
2024-02-01,10.34,11.64,9.51,10.79,10.79,12506900
2024-01-01,16.69,16.72,9.95,10.16,10.16,13418300
