Date,Open,High,Low,Close,Adj Close,Volume
2024-10-01,5.04,6.59,4.78,4.80,4.80,414899000
2024-09-01,5.01,5.50,4.70,5.03,5.03,105203200
2024-08-01,5.96,5.98,4.66,5.00,5.00,122496200
2024-07-01,5.10,7.69,4.78,5.98,5.98,187207700
2024-06-01,4.96,5.43,4.77,5.10,5.10,117177000
2024-05-01,5.00,5.59,4.67,4.87,4.87,99130600
2024-04-01,5.39,5.43,4.50,5.05,5.05,93849000
2024-03-01,5.58,5.64,4.96,5.36,5.36,105833000
2024-02-01,5.54,6.52,5.35,5.62,5.62,112971300
2024-01-01,6.62,6.62,5.43,5.46,5.46,92736900
